Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
1,00:03.281250,00:04.562500,00:01.281250,ninguna,00:03.082000,00:04.409100,00:01.327100,00:00.045850,3.58%,0.4607163472711166
2,00:04.562500,00:05.843750,00:01.281250,ninguna,00:04.409100,00:05.696000,00:01.286900,00:00.005650,0.44%,0.06793919443286456
5,00:08.546875,00:09.875000,00:01.328125,ninguna,00:08.360100,00:09.726900,00:01.366800,00:00.038675,2.91%,0.3906124648926475
6,00:09.875000,00:11.203125,00:01.328125,ninguna,00:09.826900,00:11.082600,00:01.255700,-00:00.072424,-5.45%,-0.6948985221802332
9,00:14.156250,00:15.546875,00:01.390625,ninguna,00:13.859500,00:15.430200,00:01.570700,00:00.180075,12.95%,1.7721719029854048
10,00:15.546875,00:16.875000,00:01.328125,ninguna,00:15.430200,00:16.458500,00:01.028300,-00:00.299825,-22.58%,-2.9167274912204944
11,00:16.875000,00:18.250000,00:01.375000,ninguna,00:16.458500,00:18.098400,00:01.639900,00:00.264900,19.27%,2.6009610072019407
14,00:21.140625,00:22.578125,00:01.437500,ninguna,00:21.011500,00:22.430800,00:01.419300,-00:00.018199,-1.27%,-0.16508904176594916
15,00:22.578125,00:23.953125,00:01.375000,ninguna,00:22.430800,00:23.797400,00:01.366600,-00:00.008399,-0.61%,-0.06933739754169864
16,00:23.953125,00:25.437500,00:01.484375,ninguna,00:23.797400,00:25.251000,00:01.453600,-00:00.030774,-2.07%,-0.28795403422716853
19,00:28.343750,00:29.671875,00:01.328125,ninguna,00:28.178000,00:29.523400,00:01.345400,00:00.017275,1.30%,0.1815221397498964
20,00:29.671875,00:31.000000,00:01.328125,ninguna,00:29.523400,00:30.829500,00:01.306100,-00:00.022024,-1.66%,-0.20246149474123057
21,00:31.000000,00:32.453125,00:01.453125,ninguna,00:30.829500,00:32.223400,00:01.393900,-00:00.059224,-4.08%,-0.5659269197557325
23,00:33.859375,00:35.218750,00:01.359375,ninguna,00:33.627500,00:35.186000,00:01.558500,00:00.199125,14.65%,1.9583013746662181
24,00:35.218750,00:36.640625,00:01.421875,ninguna,00:35.186000,00:36.507900,00:01.321900,-00:00.099975,-7.03%,-0.9640778893616719
25,00:36.640625,00:38.031250,00:01.390625,ninguna,00:36.507900,00:37.890900,00:01.383000,-00:00.007624,-0.55%,-0.061765201187229855
28,00:40.843750,00:42.437500,00:01.593750,ninguna,00:40.777800,00:42.245400,00:01.467600,-00:00.126149,-7.92%,-1.2198227146238922
29,00:42.437500,00:43.828125,00:01.390625,ninguna,00:42.245400,00:43.669300,00:01.423900,00:00.033275,2.39%,0.3378513548098972
30,00:43.828125,00:45.218750,00:01.390625,ninguna,00:43.669300,00:45.028900,00:01.359600,-00:00.031024,-2.23%,-0.29039667821248105
33,00:48.062500,00:49.453125,00:01.390625,ninguna,00:47.918400,00:49.320700,00:01.402299,00:00.011675,0.84%,0.1268069144788961
34,00:49.453125,00:50.750000,00:01.296875,ninguna,00:49.320700,00:50.642800,00:01.322100,00:00.025225,1.95%,0.2591982184828343
35,00:50.750000,00:52.218750,00:01.468750,ninguna,00:50.642800,00:52.045800,00:01.403000,-00:00.065749,-4.48%,-0.629679927772389
38,00:55.078125,00:56.375000,00:01.296875,ninguna,00:54.945700,00:56.263100,00:01.317400,00:00.020525,1.58%,0.21327651155895908
39,00:56.375000,00:57.781250,00:01.406250,ninguna,00:56.263100,00:57.605400,00:01.342300,-00:00.063949,-4.55%,-0.612092891078139
42,01:00.750000,01:02.312500,00:01.562500,ninguna,01:00.616600,01:02.195500,00:01.578900,00:00.016400,1.05%,0.17297288580130263
43,01:02.312500,01:03.656250,00:01.343750,ninguna,01:02.195500,01:03.599700,00:01.404200,00:00.060450,4.50%,0.6033667560133673
44,01:03.656250,01:05.140625,00:01.484375,ninguna,01:03.599700,01:05.014000,00:01.414300,-00:00.070075,-4.72%,-0.6719376687182955
47,01:08.140625,01:09.546875,00:01.406250,ninguna,01:07.954600,01:09.365400,00:01.410800,00:00.004550,0.32%,0.057191560897489516
48,01:09.546875,01:10.937500,00:01.390625,ninguna,01:09.365400,01:10.770000,00:01.404600,00:00.013975,1.00%,0.14927923914377123
