Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo
1,00:02.615,00:03.692,00:01.077,ninguna,00:02.595,00:03.694
2,00:03.692,00:04.723,00:01.031,ninguna,00:03.694,00:04.727
3,00:04.723,00:05.815,00:01.092,gira,00:04.727,00:05.827
4,00:08.092,00:09.153,00:01.061,ninguna,00:08.159,00:09.259
5,00:09.153,00:10.246,00:01.093,ninguna,00:09.259,00:10.325
6,00:10.246,00:11.323,00:01.077,ninguna,00:10.325,00:11.458
7,00:11.323,00:12.800,00:01.477,gira,00:13.157,00:12.557
8,00:12.800,00:13.676,00:00.876,gira,00:15.557,00:13.756
9,00:13.676,00:14.753,00:01.077,ninguna,00:13.756,00:14.923
10,00:14.753,00:15.830,00:01.077,ninguna,00:14.923,00:15.989
11,00:15.830,00:16.907,00:01.077,ninguna,00:15.989,00:17.088
12,00:16.907,00:18.061,00:01.154,gira,00:17.088,00:18.221
13,00:18.061,00:19.384,00:01.323,gira,00:18.221,00:19.520
14,00:19.384,00:20.461,00:01.077,ninguna,00:19.520,00:20.687
15,00:20.461,00:21.676,00:01.215,ninguna,00:20.687,00:21.753
16,00:21.676,00:22.800,00:01.124,ninguna,00:21.753,00:22.919
17,00:22.800,00:23.800,00:01.000,gira,00:22.919,00:24.085
18,00:23.800,00:25.123,00:01.323,gira,00:24.085,00:25.384
19,00:25.123,00:26.292,00:01.169,ninguna,00:25.384,00:26.584
20,00:26.292,00:27.353,00:01.061,ninguna,00:26.584,00:27.683
21,00:27.353,00:28.476,00:01.123,ninguna,00:27.683,00:28.816
22,00:28.476,00:29.615,00:01.139,gira,00:28.816,00:29.949
23,00:29.615,00:30.815,00:01.200,gira,00:29.949,00:31.148
24,00:30.815,00:31.984,00:01.169,ninguna,00:31.148,00:32.381
25,00:31.984,00:33.046,00:01.062,ninguna,00:32.381,00:33.514
26,00:33.046,00:34.153,00:01.107,ninguna,00:33.514,00:34.613
27,00:34.153,00:35.261,00:01.108,ninguna,00:34.613,00:35.713
28,00:35.261,00:36.461,00:01.200,gira,00:35.713,00:36.846
29,00:36.461,00:37.569,00:01.108,gira,00:36.846,00:38.045
30,00:37.569,00:38.707,00:01.138,ninguna,00:38.045,00:39.211
31,00:38.707,00:39.753,00:01.046,ninguna,00:39.211,00:40.344
32,00:39.753,00:40.830,00:01.077,ninguna,00:40.344,00:41.410
33,00:40.830,00:41.938,00:01.108,ninguna,00:41.410,00:42.477
34,00:41.938,00:43.261,00:01.313,gira,00:42.477,00:43.609
35,00:43.261,00:44.338,00:01.077,gira,00:43.609,00:44.875
36,00:44.338,00:45.492,00:01.154,ninguna,00:44.875,00:46.108
37,00:45.492,00:46.584,00:01.092,ninguna,00:46.108,00:47.208
38,00:46.584,00:47.646,00:01.062,ninguna,00:47.208,00:48.307
39,00:47.646,00:48.723,00:01.077,ninguna,00:48.307,00:49.407
40,00:48.723,00:49.969,00:01.246,gira,00:49.407,00:50.606
41,00:49.969,00:51.153,00:01.184,gira,00:50.606,00:51.806
42,00:51.153,00:52.230,00:01.077,ninguna,00:51.806,00:52.972
43,00:52.230,00:53.338,00:01.108,ninguna,00:52.972,00:54.071
44,00:53.338,00:54.400,00:01.062,ninguna,00:54.071,00:55.137
45,00:54.400,00:55.538,00:01.138,ninguna,00:55.137,00:56.270
46,00:55.538,00:56.692,00:01.154,gira,00:56.270,00:57.470
47,00:56.692,00:58.015,00:01.223,gira,00:57.470,00:58.802
48,00:58.015,00:59.076,00:01.061,ninguna,00:58.802,00:59.935
49,00:59.076,01:00.184,00:01.108,ninguna,00:59.935,01:01.035
50,01:00.184,01:01.276,00:01.092,ninguna,01:01.035,01:02.134
51,01:01.276,01:02.569,00:01.293,gira,01:02.134,01:03.400
52,01:02.569,01:03.784,00:01.215,gira,01:03.400,01:04.633
53,01:03.784,01:04.892,00:01.108,ninguna,01:04.633,01:05.832
54,01:04.892,01:06.015,00:01.123,ninguna,01:05.832,01:06.965
55,01:06.015,01:07.107,00:01.092,ninguna,01:06.965,01:08.065
56,01:07.107,01:08.276,00:01.169,ninguna,01:08.065,01:09.231
57,01:08.276,01:09.507,00:01.231,gira,01:09.231,01:10.430
